,id,Measurement
257,in[0],-74.00
258,in[1],-67.00
259,in[2],-70.25
260,,
264,in[0],-76.25
265,in[1],-67.00
266,in[2],-70.25
267,,
271,in[0],-76.25
272,in[1],-66.00
273,in[2],-70.25
274,,
278,in[0],-76.25
279,in[1],-65.00
280,in[2],-70.25
281,,
285,in[0],-76.25
286,in[1],-65.00
287,in[2],-75.00
288,,
292,in[0],-73.25
293,in[1],-65.00
294,in[2],-75.00
295,,
299,in[0],-73.25
300,in[1],-66.25
301,in[2],-75.00
302,,
306,in[0],-73.25
307,in[1],-66.25
308,in[2],-75.00
309,,
313,in[0],-73.25
314,in[1],-67.25
315,in[2],-79.50
316,,
320,in[0],-75.50
321,in[1],-67.25
322,in[2],-79.75
323,,
327,in[0],-75.50
328,in[1],-67.25
329,in[2],-79.75
330,,
334,in[0],-75.50
335,in[1],-67.25
336,in[2],-79.75
337,,
341,in[0],-75.50
342,in[1],-67.25
343,in[2],-79.75
344,,
348,in[0],-73.50
349,in[1],-67.50
350,in[2],-79.75
351,,
355,in[0],-73.50
356,in[1],-67.50
357,in[2],-84.25
358,,
362,in[0],-73.75
363,in[1],-67.50
364,in[2],-84.25
365,,
369,in[0],-73.75
370,in[1],-67.50
371,in[2],-84.25
372,,
376,in[0],-73.75
377,in[1],-67.50
378,in[2],-84.25
379,,
383,in[0],-74.00
384,in[1],-67.50
385,in[2],-84.25
386,,
390,in[0],-74.00
391,in[1],-67.50
392,in[2],-84.25
393,,
397,in[0],-73.75
398,in[1],-67.50
399,in[2],-80.25
400,,
404,in[0],-73.75
405,in[1],-67.25
406,in[2],-80.25
407,,
411,in[0],-75.75
412,in[1],-66.00
413,in[2],-80.25
414,,
418,in[0],-75.75
419,in[1],-66.00
420,in[2],-80.25
421,,
425,in[0],-73.50
426,in[1],-66.00
427,in[2],-80.25
428,,
432,in[0],-74.00
433,in[1],-66.00
434,in[2],-80.25
435,,
439,in[0],-74.00
440,in[1],-66.00
441,in[2],-80.25
442,,
446,in[0],-74.25
447,in[1],-65.50
448,in[2],-80.25
449,,
453,in[0],-76.00
454,in[1],-65.25
455,in[2],-80.25
456,,
460,in[0],-76.00
461,in[1],-65.00
462,in[2],-76.25
463,,
467,in[0],-76.00
468,in[1],-64.75
469,in[2],-76.25
470,,
474,in[0],-76.00
475,in[1],-65.25
476,in[2],-76.25
477,,
481,in[0],-75.75
482,in[1],-65.50
483,in[2],-76.25
484,,
488,in[0],-75.75
489,in[1],-65.50
490,in[2],-76.25
491,,
495,in[0],-73.50
496,in[1],-65.75
497,in[2],-80.25
498,,
502,in[0],-73.50
503,in[1],-65.75
504,in[2],-76.00
505,,
509,in[0],-74.25
510,in[1],-67.25
511,in[2],-76.00
512,,
516,in[0],-76.75
517,in[1],-66.25
518,in[2],-75.75
519,,
523,in[0],-78.75
524,in[1],-66.25
525,in[2],-75.75
526,,
530,in[0],-76.50
531,in[1],-66.25
532,in[2],-75.75
533,,
537,in[0],-76.50
538,in[1],-66.25
539,in[2],-75.75
540,,
544,in[0],-76.00
545,in[1],-66.25
546,in[2],-75.75
547,,
551,in[0],-76.00
552,in[1],-66.25
553,in[2],-75.50
554,,
558,in[0],-76.00
559,in[1],-66.25
560,in[2],-75.50
561,,
565,in[0],-76.75
566,in[1],-66.25
567,in[2],-75.50
568,,
572,in[0],-76.75
573,in[1],-66.25
574,in[2],-75.50
575,,
579,in[0],-77.25
580,in[1],-66.00
581,in[2],-71.25
582,,
586,in[0],-77.25
587,in[1],-66.00
588,in[2],-71.25
589,,
593,in[0],-77.25
594,in[1],-66.50
595,in[2],-71.00
596,,
600,in[0],-77.25
601,in[1],-66.50
602,in[2],-71.00
603,,
607,in[0],-77.25
608,in[1],-66.50
609,in[2],-71.00
610,,
614,in[0],-77.25
615,in[1],-66.50
616,in[2],-71.00
617,,
621,in[0],-77.25
622,in[1],-65.25
623,in[2],-71.00
624,,
628,in[0],-77.50
629,in[1],-66.50
630,in[2],-71.00
631,,
635,in[0],-77.50
636,in[1],-66.50
637,in[2],-75.25
638,,
642,in[0],-77.50
643,in[1],-66.50
644,in[2],-75.25
645,,
649,in[0],-76.25
650,in[1],-67.00
651,in[2],-75.25
652,,
656,in[0],-75.50
657,in[1],-67.00
658,in[2],-75.25
659,,
663,in[0],-75.50
664,in[1],-67.00
665,in[2],-75.25
666,,
670,in[0],-75.50
671,in[1],-67.00
672,in[2],-75.25
673,,
677,in[0],-77.25
678,in[1],-67.00
679,in[2],-75.25
680,,
684,in[0],-77.25
685,in[1],-67.00
686,in[2],-75.25
687,,
691,in[0],-75.25
692,in[1],-66.00
693,in[2],-75.25
694,,
698,in[0],-75.25
699,in[1],-66.00
700,in[2],-75.25
701,,
705,in[0],-75.25
706,in[1],-66.00
707,in[2],-75.25
708,,
712,in[0],-75.25
713,in[1],-66.00
714,in[2],-75.25
715,,
719,in[0],-75.50
720,in[1],-67.00
721,in[2],-75.25
722,,
726,in[0],-75.25
727,in[1],-67.00
728,in[2],-75.25
729,,
733,in[0],-75.25
734,in[1],-66.00
735,in[2],-75.25
736,,
740,in[0],-75.50
741,in[1],-66.00
742,in[2],-75.25
743,,
