,id,time (delta),RSSI (dBm)
14806,7171,77:,-66
14807,0,2:,-77
14808,7171,77:,-66
14815,7171,78:,-66
14816,0,3:,-77
14817,7171,78:,-66
14824,7171,78:,-66
14825,0,3:,-77
14826,7171,78:,-66
14833,7171,78:,-66
14834,0,3:,-77
14835,7171,78:,-66
14842,7171,78:,-66
14843,0,3:,-77
14844,7171,78:,-66
14851,7171,78:,-66
14852,0,3:,-77
14853,7171,78:,-66
14860,7171,78:,-66
14861,0,3:,-77
14862,7171,78:,-66
14869,7171,78:,-66
14870,0,3:,-77
14871,7171,78:,-66
14878,7171,78:,-66
14879,0,3:,-77
14880,7171,78:,-66
14887,7171,78:,-66
14888,0,3:,-77
14889,7171,78:,-66
14896,7171,78:,-66
14897,0,3:,-77
14898,7171,78:,-66
14905,7171,79:,-66
14906,0,4:,-77
14907,7171,79:,-66
14914,7171,79:,-66
14915,0,4:,-77
14916,7171,79:,-66
14923,7171,79:,-66
14924,0,4:,-77
14925,7171,79:,-66
14932,7171,79:,-66
14933,0,4:,-77
14934,7171,79:,-66
14941,7171,79:,-66
14942,0,4:,-77
14943,7171,79:,-66
14950,7171,79:,-66
14951,0,4:,-77
14952,7171,79:,-66
14959,7171,79:,-66
14960,0,4:,-77
14961,7171,79:,-66
14968,7171,79:,-66
14969,0,4:,-77
14970,7171,79:,-66
14977,7171,79:,-66
14978,0,4:,-77
14979,7171,79:,-66
14986,7171,79:,-66
14987,0,4:,-77
14988,7171,79:,-66
14995,7171,80:,-66
14996,0,5:,-77
14997,7171,80:,-66
15004,7171,80:,-66
15005,0,5:,-77
15006,7171,80:,-66
15013,7171,80:,-66
15014,0,5:,-77
15015,7171,80:,-66
15022,7171,80:,-66
15023,0,5:,-77
15024,7171,80:,-66
15031,7171,80:,-66
15032,0,5:,-77
15033,7171,80:,-66
15040,7171,80:,-66
15041,0,5:,-77
15042,7171,80:,-66
15049,7171,80:,-66
15050,0,5:,-77
15051,7171,80:,-66
15058,7171,80:,-66
15059,0,5:,-77
15060,7171,80:,-66
15067,7171,80:,-66
15068,0,5:,-77
15069,7171,80:,-66
15076,7171,80:,-66
15077,0,5:,-77
15078,7171,80:,-66
15085,7171,81:,-66
15086,0,6:,-77
15087,7171,81:,-66
15094,7171,81:,-66
15095,0,6:,-77
15096,7171,81:,-66
15103,7171,81:,-66
15104,0,6:,-77
15105,7171,81:,-66
15112,7171,81:,-66
15113,0,6:,-77
15114,7171,81:,-66
15121,7171,81:,-66
15122,0,6:,-77
15123,7171,81:,-66
15130,7171,81:,-66
15131,0,6:,-77
15132,7171,81:,-66
15139,7171,81:,-66
15140,0,6:,-77
15141,7171,81:,-66
15148,7171,81:,-66
15149,0,6:,-77
15150,7171,81:,-66
15157,7171,81:,-66
15158,0,6:,-77
15159,7171,81:,-66
15166,7171,81:,-66
15167,0,6:,-77
15168,7171,81:,-66
15175,7171,82:,-66
15176,0,7:,-77
15177,7171,82:,-66
15184,7171,82:,-66
15185,0,7:,-77
15186,7171,82:,-66
15193,7171,82:,-66
15194,0,7:,-77
15195,7171,82:,-66
15202,7171,82:,-66
15203,0,7:,-77
15204,7171,82:,-66
15211,7171,82:,-66
15212,0,7:,-77
15213,7171,82:,-66
15220,7171,82:,-66
15221,0,7:,-77
15222,7171,82:,-66
15229,7171,82:,-66
15230,0,7:,-77
15231,7171,82:,-66
15238,7171,82:,-66
15239,0,7:,-77
15240,7171,82:,-66
15247,7171,82:,-66
15248,0,7:,-77
15249,7171,82:,-66
15256,7171,82:,-66
15257,0,7:,-77
15258,7171,82:,-66
15265,7171,83:,-66
15266,0,8:,-77
15267,7171,83:,-66
15274,7171,83:,-66
15275,0,8:,-77
15276,7171,83:,-66
15283,7171,83:,-66
15284,0,8:,-77
15285,7171,83:,-66
